Australian Bureau of Statistics,,
,,
"2016 Census - Counting Employed Persons, Place of Work (POW)",,
SA2 (POW),,
Counting: Persons Aged 15 Years and Over Place of Work,,
,,
Filters:,,
Default Summation,Persons Aged 15 Years and Over Place of Work,
,,
Counting,SA2 (POW),Count
Persons Aged 15 Years and Over Place of Work,Wingham,1481
Persons Aged 15 Years and Over Place of Work,Albury - East,5841
Persons Aged 15 Years and Over Place of Work,Albury - North,1899
Persons Aged 15 Years and Over Place of Work,Albury - South,12593
Persons Aged 15 Years and Over Place of Work,Albury Region,3689
Persons Aged 15 Years and Over Place of Work,Lavington,4039
Persons Aged 15 Years and Over Place of Work,Hay,1320
Persons Aged 15 Years and Over Place of Work,Wentworth - Buronga,2135
Persons Aged 15 Years and Over Place of Work,Wentworth-Balranald Region,1678
Persons Aged 15 Years and Over Place of Work,Corowa,2292
Persons Aged 15 Years and Over Place of Work,Corowa Region,2660
Persons Aged 15 Years and Over Place of Work,Deniliquin,3205
Persons Aged 15 Years and Over Place of Work,Deniliquin Region,2760
Persons Aged 15 Years and Over Place of Work,Moama,1790
Persons Aged 15 Years and Over Place of Work,Tocumwal - Finley - Jerilderie,3250
Persons Aged 15 Years and Over Place of Work,Armidale,10939
Persons Aged 15 Years and Over Place of Work,Armidale Region - North,1876
Persons Aged 15 Years and Over Place of Work,Armidale Region - South,1333
Persons Aged 15 Years and Over Place of Work,Walcha,1416
Persons Aged 15 Years and Over Place of Work,Glen Innes,3061
Persons Aged 15 Years and Over Place of Work,Inverell,5349
Persons Aged 15 Years and Over Place of Work,Inverell Region - East,1035
Persons Aged 15 Years and Over Place of Work,Inverell Region - West,1750
Persons Aged 15 Years and Over Place of Work,Tenterfield,2143
Persons Aged 15 Years and Over Place of Work,Moree,3717
Persons Aged 15 Years and Over Place of Work,Moree Region,2210
Persons Aged 15 Years and Over Place of Work,Narrabri,3097
Persons Aged 15 Years and Over Place of Work,Narrabri Region,2003
Persons Aged 15 Years and Over Place of Work,Gunnedah,3842
Persons Aged 15 Years and Over Place of Work,Gunnedah Region,2226
Persons Aged 15 Years and Over Place of Work,Quirindi,2652
Persons Aged 15 Years and Over Place of Work,Tamworth - East,6006
Persons Aged 15 Years and Over Place of Work,Tamworth - North,9919
Persons Aged 15 Years and Over Place of Work,Tamworth - West,5532
Persons Aged 15 Years and Over Place of Work,Tamworth Region,3584
Persons Aged 15 Years and Over Place of Work,Belmont - Bennetts Green,5778
Persons Aged 15 Years and Over Place of Work,Belmont South - Blacksmiths,528
