INDP Industry of Employment,"Agriculture, Forestry and Fishing, nfd",Agriculture,Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing Support Services","Mining, nfd",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Non-Metallic Mineral Mining and Quarrying,Exploration and Other Mining Support Services,"Manufacturing, nfd",Food Product Manufacturing,Beverage and Tobacco Product Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Wood Product Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Printing (including the Reproduction of Recorded Media),Petroleum and Coal Product Manufacturing,Basic Chemical and Chemical Product Manufacturing,Polymer Product and Rubber Product Manufacturing,Non-Metallic Mineral Product Manufacturing,Primary Metal and Metal Product Manufacturing,Fabricated Metal Product Manufacturing,Transport Equipment Manufacturing,Machinery and Equipment Manufacturing,Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services, nfd",Electricity Supply,Gas Supply,"Water Supply, Sewerage and Drainage Services","Waste Collection, Treatment and Disposal Services","Construction, nfd",Building Construction,Heavy and Civil Engineering Construction,Construction Services,"Wholesale Trade, nfd",Basic Material Wholesaling,Machinery and Equipment Wholesaling,Motor Vehicle and Motor Vehicle Parts Wholesaling,"Grocery, Liquor and Tobacco Product Wholesaling",Other Goods Wholesaling,Commission-Based Wholesaling,"Retail Trade, nfd",Motor Vehicle and Motor Vehicle Parts Retailing,Fuel Retailing,Food Retailing,Other Store-Based Retailing,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,"Accommodation and Food Services, nfd",Accommodation,Food and Beverage Services,"Transport, Postal and Warehousing, nfd",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Postal and Courier Pick-up and Delivery Services,Transport Support Services,Warehousing and Storage Services,"Information Media and Telecommunications, nfd",Publishing (except Internet and Music Publishing),Motion Picture and Sound Recording Activities,Broadcasting (except Internet),Internet Publishing and Broadcasting,Telecommunications Services,"Internet Service Providers, Web Search Portals and Data Processing Services",Library and Other Information Services,"Financial and Insurance Services, nfd",Finance,Insurance and Superannuation Funds,Auxiliary Finance and Insurance Services,"Rental, Hiring and Real Estate Services, nfd",Rental and Hiring Services (except Real Estate),Property Operators and Real Estate Services,"Professional, Scientific and Technical Services, nfd","Professional, Scientific and Technical Services (except Computer System Design and Related Services)",Computer System Design and Related Services,"Administrative and Support Services, nfd",Administrative Services,"Building Cleaning, Pest Control and Other Support Services","Public Administration and Safety, nfd",Public Administration,Defence,"Public Order, Safety and Regulatory Services","Education and Training, nfd",Preschool and School Education,Tertiary Education,"Adult, Community and Other Education","Health Care and Social Assistance, nfd",Hospitals,Medical and Other Health Care Services,Residential Care Services,Social Assistance Services,"Arts and Recreation Services, nfd",Heritage Activities,Creative and Performing Arts Activities,Sports and Recreation Activities,Gambling Activities,"Other Services, nfd",Repair and Maintenance,Personal and Other Services,Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use,Inadequately described,Not stated,Not applicable,Total
Main Statistical Area Structure (Main ASGS) (POW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunswick East,0,3,0,0,0,3,0,0,0,0,0,0,29,52,3,104,27,10,25,0,3,7,23,15,15,0,18,24,0,3,0,0,3,3,53,0,104,17,17,26,22,48,122,0,14,7,7,46,123,0,0,18,251,0,14,0,0,0,0,3,8,10,0,4,5,21,0,9,3,3,0,0,0,7,0,3,31,0,168,36,0,19,30,0,19,0,10,10,100,12,46,6,7,64,51,96,0,41,37,5,4,0,72,109,0,33,0,0,2339
Brunswick West,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,36,0,53,3,3,3,0,4,8,0,3,8,5,68,53,0,0,4,46,0,29,0,0,0,0,3,3,0,0,3,10,0,0,0,0,0,0,9,5,8,0,6,4,0,108,20,0,9,16,0,14,0,3,3,118,10,30,3,0,90,52,48,0,0,19,3,0,0,41,55,3,12,3,0,1094
Coburg,0,0,0,0,0,0,0,0,0,0,0,0,26,82,0,47,12,20,15,0,3,24,4,8,57,7,41,22,0,5,0,0,6,4,101,3,189,10,19,28,3,51,100,3,31,19,26,300,332,0,0,9,216,3,80,0,0,3,0,21,3,7,0,6,13,3,0,8,0,7,3,86,29,28,0,9,66,0,264,61,0,56,37,0,667,0,51,27,389,83,123,44,415,457,130,440,0,9,54,59,7,0,84,159,0,57,0,0,5901
Pascoe Vale South,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,4,0,0,0,3,9,0,0,0,0,0,3,37,0,48,0,0,3,0,0,5,0,5,0,6,25,49,0,0,0,66,0,17,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,12,0,7,3,4,26,0,88,14,0,7,22,0,3,0,4,0,94,7,13,0,14,39,21,31,0,0,15,3,0,0,11,24,0,12,0,0,780
Alphington - Fairfield,0,3,0,0,0,3,0,0,0,0,0,0,46,50,7,130,21,10,10,0,7,18,40,18,15,13,121,59,0,7,0,6,3,4,102,13,165,12,58,157,14,78,200,13,17,22,9,159,269,5,0,12,189,3,21,0,0,0,0,50,3,7,0,6,3,0,0,20,0,0,0,19,0,16,0,7,11,3,153,34,0,12,35,0,8,3,26,0,67,3,11,9,3,145,10,142,0,3,29,10,3,0,169,51,0,47,0,0,3223
Northcote,0,3,0,0,0,0,0,0,0,0,0,10,25,36,0,54,12,4,14,0,4,0,13,17,6,13,93,25,0,6,0,3,0,3,108,3,159,9,14,29,3,9,33,3,27,3,11,271,380,4,0,23,394,0,36,0,0,3,8,11,3,10,0,11,34,3,3,48,0,9,7,65,4,24,0,7,90,0,333,79,0,86,87,0,86,0,119,14,423,56,87,13,15,237,190,276,4,15,134,126,7,0,78,224,3,55,0,0,4973
Thornbury,0,0,0,0,0,0,0,0,3,0,0,0,31,60,3,55,12,3,34,0,3,23,17,20,10,9,52,34,0,3,0,3,5,8,68,8,146,20,14,30,6,34,34,9,20,6,3,90,159,0,0,10,195,0,51,0,0,0,0,4,4,0,0,13,13,3,0,9,0,0,0,13,4,20,0,13,54,0,205,36,0,26,64,0,62,0,64,9,458,11,106,4,9,107,118,328,0,0,49,39,7,0,141,86,0,40,4,0,3437
Ascot Vale,0,0,0,0,0,0,0,0,0,0,0,0,11,34,0,3,0,0,0,0,3,0,0,0,0,4,7,0,0,0,0,0,0,4,74,0,83,3,4,6,0,5,17,0,16,6,8,84,140,3,0,11,197,3,28,0,0,0,0,7,11,0,0,3,3,0,3,0,0,0,0,20,4,34,0,10,89,0,199,46,0,28,24,0,50,0,20,8,156,23,54,5,14,90,25,102,3,0,13,134,3,0,41,130,0,22,3,0,2156
Essendon - Aberfeldie,0,4,0,0,0,0,0,0,0,0,0,0,13,59,0,11,7,3,5,0,3,4,4,3,3,3,10,7,0,0,0,0,3,13,232,16,237,5,44,13,11,14,37,0,41,93,43,303,401,3,0,26,503,3,66,5,0,8,3,9,28,4,0,8,8,0,0,16,3,7,5,81,14,94,0,12,211,0,583,68,0,94,47,0,131,0,12,15,793,82,122,12,9,511,170,200,0,3,15,262,8,0,86,253,0,48,0,0,6329
Flemington,0,0,0,0,0,0,0,0,0,0,0,0,8,175,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,73,4,34,4,0,3,3,18,16,0,10,0,3,107,83,0,0,4,131,4,197,0,0,0,0,16,23,0,0,7,3,0,0,0,0,0,0,3,0,6,0,9,25,0,131,27,0,15,8,0,45,0,47,0,145,18,36,12,40,56,130,118,0,0,15,11,0,0,13,39,0,7,7,0,1931
Moonee Ponds,0,4,0,0,0,0,0,0,0,0,0,0,11,108,0,6,4,0,11,0,3,3,3,0,0,0,12,12,0,0,0,0,0,4,79,4,106,7,22,13,0,10,25,3,44,16,13,311,533,3,0,24,509,3,10,0,0,14,7,14,28,0,3,5,3,54,0,20,0,11,3,171,20,67,0,3,44,0,390,63,0,786,63,3,1566,8,94,9,250,38,50,28,57,562,169,148,5,3,18,69,35,0,44,225,4,27,0,0,7077
Carlton,0,4,0,0,0,0,4,0,0,0,0,8,15,49,3,54,0,12,69,0,7,0,49,5,6,5,25,12,0,6,0,0,3,19,305,7,146,15,23,19,3,67,163,3,44,61,12,194,429,5,0,224,1195,4,37,0,4,3,3,9,55,3,0,22,84,56,5,60,10,3,5,442,117,109,0,11,152,3,1244,264,3,558,122,8,649,28,298,58,100,2797,133,62,251,1118,64,656,13,518,71,80,12,0,53,1313,3,124,4,0,15073
Docklands,0,35,0,0,0,0,0,0,3,0,4,0,24,299,251,21,6,3,29,25,3,0,3,34,15,81,154,0,0,26,14,0,0,15,572,148,419,19,101,729,0,31,58,3,83,3,129,175,1603,3,0,273,1229,27,49,412,24,4,15,25,110,11,18,894,56,790,13,850,118,0,19,8430,1791,1400,0,21,382,3,1826,2138,0,335,179,14,970,9,3093,26,36,79,83,8,0,63,3,87,18,0,16,577,5,0,24,161,5,150,8,0,32037
East Melbourne,0,12,0,0,0,0,4,0,0,3,0,9,9,11,8,3,0,0,6,3,167,3,6,0,3,0,20,0,0,0,0,604,32,13,152,50,115,0,11,27,0,7,36,3,17,0,3,51,68,0,4,520,1120,11,16,41,4,5,4,7,7,0,4,73,24,155,8,5,13,0,15,520,125,341,0,27,126,6,1901,338,0,417,214,17,3557,0,639,112,486,433,262,146,3018,1510,91,181,19,133,27,1263,0,0,14,572,3,124,11,0,20106
Flemington Racecourse,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,7,0,0,0,0,108,11,0,0,20,131,0,0,0,0,0,0,0,0,0,0,7,0,9,0,4,3,9,0,0,0,0,0,0,0,0,19,7,0,32,7,0,0,0,6,0,10,0,17,0,0,3,0,23,3,3,0,638,28,0,0,11,0,12,0,0,1153
Kensington,0,4,0,0,0,0,0,0,0,0,0,0,36,151,3,16,0,3,60,0,7,0,3,4,3,34,42,29,0,4,0,0,7,4,124,3,253,21,6,39,22,84,84,0,13,28,7,36,196,6,0,7,147,3,115,40,0,0,0,14,38,5,0,16,6,0,0,18,0,4,0,24,0,6,0,18,60,0,531,92,0,49,33,5,12,0,158,10,99,11,29,9,0,102,36,261,0,3,35,39,3,0,92,49,0,71,3,0,3593
Melbourne,15,116,0,70,3,55,51,24,90,149,3,469,63,330,52,110,16,12,198,21,104,17,4,156,27,22,266,233,109,3763,673,10,28,57,1145,385,505,91,408,1083,15,57,619,36,460,173,62,1172,6810,53,10,3467,8422,143,382,2003,87,866,90,1987,679,46,54,2130,306,69,134,10108,884,419,458,16241,9137,9772,3,173,2557,85,34293,9431,4,8319,1630,128,19957,656,3331,511,476,5615,1178,185,136,1874,247,1115,65,426,515,302,286,0,224,2573,0,1472,61,0,186129
North Melbourne,0,15,0,3,0,0,0,0,4,0,0,0,59,153,10,40,12,9,118,0,59,57,80,9,14,27,94,52,12,53,3,3,114,27,390,116,615,53,202,230,70,75,115,3,71,187,13,130,400,9,0,236,644,13,251,61,16,5,7,489,145,29,11,95,65,25,11,219,30,82,17,1674,84,102,0,81,159,0,2192,530,0,639,240,0,204,3,560,58,235,169,141,30,156,358,84,333,13,13,120,235,7,0,316,818,5,258,3,0,15988
Parkville,0,0,0,0,0,0,0,0,0,0,0,0,4,41,0,3,0,0,8,0,1184,0,0,10,0,8,7,0,0,0,0,0,3,7,134,11,118,0,3,14,0,0,26,0,0,0,0,10,62,0,0,253,401,0,6,7,0,0,0,10,0,0,0,7,8,0,0,6,3,13,0,27,14,15,0,0,19,0,1734,41,3,63,66,0,178,0,169,25,314,5787,78,159,8987,689,94,175,0,294,18,42,0,0,15,244,3,61,3,0,21700
South Yarra - West,0,14,0,0,0,0,3,3,0,3,0,6,10,0,0,21,3,0,17,0,22,7,0,5,0,0,4,3,6,6,0,21,0,11,211,54,61,8,9,526,0,8,96,0,12,7,3,19,188,5,0,94,299,3,13,3,61,0,7,15,10,3,3,30,11,7,0,134,7,0,22,480,863,362,0,4,114,4,1974,886,0,437,167,4,135,5,93,15,735,428,53,66,3822,645,127,78,3,0,33,43,16,0,5,110,7,106,4,0,13949
Southbank,5,28,0,0,0,0,24,0,650,66,5,27,27,796,634,17,16,58,36,16,272,34,6,29,11,10,97,26,9,589,17,5,19,34,736,78,245,27,122,125,31,54,166,151,68,240,17,93,797,3,4,879,1554,4,87,0,414,5,24,18,140,8,14,1064,149,639,10,223,76,0,42,235,224,476,0,548,815,10,4071,3327,0,1126,325,8,616,1065,466,35,181,283,115,18,274,415,87,112,28,642,849,83,4835,0,132,435,3,275,0,0,33991
West Melbourne,0,26,0,0,3,10,0,0,0,0,3,0,23,133,0,6,0,0,0,0,0,4,10,19,3,65,15,9,0,0,0,3,31,3,9,43,42,41,57,14,3,902,57,12,25,12,3,37,47,3,0,0,28,28,683,514,24,3,8,9,1057,61,0,0,9,0,0,0,0,0,0,0,0,0,0,15,26,0,97,3,0,15,43,0,28,3,31,0,0,0,0,0,0,4,0,4,5,0,19,0,0,0,32,7,0,42,0,0,4461
Albert Park,3,22,0,0,0,0,12,3,8,11,5,28,16,72,17,38,4,3,42,0,43,4,4,5,3,23,20,12,3,34,3,8,7,27,587,223,232,19,80,252,9,44,391,13,21,171,19,154,419,12,3,412,616,23,56,3,67,18,3,16,85,5,12,69,53,12,9,124,32,3,43,338,180,398,0,11,416,13,2655,1550,0,1169,94,3,62,0,760,51,215,113,144,31,131,416,53,92,14,36,145,367,460,0,33,444,12,271,5,0,15484
Elwood,0,3,0,0,0,0,0,0,0,0,0,5,0,15,0,5,0,0,4,0,3,0,0,0,0,5,0,3,0,0,0,0,0,0,78,3,75,3,10,7,0,7,22,0,11,0,0,90,76,0,0,9,242,0,3,0,0,0,0,5,3,0,0,3,35,4,3,0,0,0,0,14,5,8,0,8,70,3,245,37,0,28,13,0,17,0,0,3,200,11,36,3,3,132,10,66,3,0,43,10,0,0,15,89,9,31,0,0,1901
Port Melbourne,0,11,0,0,0,0,0,0,0,0,0,0,10,30,4,8,0,0,26,0,17,0,0,3,0,9,16,0,0,0,0,0,0,4,142,22,106,19,16,17,3,10,59,0,22,11,3,182,199,8,0,37,341,6,45,3,62,3,3,25,104,21,3,18,59,8,0,32,5,3,8,64,18,82,0,12,110,3,579,76,0,141,39,0,35,0,30,3,130,14,36,9,8,105,22,86,3,0,60,32,32,0,30,190,4,57,0,0,3772
Port Melbourne Industrial,0,42,0,0,0,3,3,0,0,0,19,0,172,386,50,79,3,87,466,5,115,25,402,37,5,3319,450,55,0,18,3,0,58,51,465,198,834,77,202,674,253,225,871,5,47,96,13,94,587,66,0,24,120,18,625,61,176,16,11,771,656,155,5,464,75,25,0,75,5,0,3,95,37,173,0,115,94,0,1089,435,0,395,256,4,46,664,287,7,3,40,23,5,5,355,0,45,6,0,12,50,35,0,341,73,0,256,4,0,18812
South Melbourne,0,17,0,3,0,0,0,4,0,0,0,0,63,114,207,45,3,3,226,4,87,12,18,3,8,24,195,11,7,49,3,4,67,32,870,71,569,55,92,211,75,110,422,20,86,137,14,338,937,29,0,151,689,16,301,23,22,5,5,35,153,22,35,273,415,265,6,218,44,8,23,1569,681,427,0,202,359,10,3867,1428,0,720,356,10,102,9,221,86,123,190,131,25,28,421,203,213,16,13,119,109,43,0,385,683,5,326,5,0,21017
St Kilda,3,10,0,0,0,0,5,0,7,231,0,4,13,37,0,53,0,0,39,0,10,5,8,3,0,14,22,8,3,14,4,13,0,24,214,61,162,16,58,103,16,34,95,11,35,5,6,228,379,8,0,357,1118,12,46,0,35,3,3,14,87,4,5,101,198,11,8,131,52,26,21,148,848,217,3,14,314,4,2002,532,0,318,99,3,486,7,43,39,357,132,105,29,56,490,334,449,9,33,167,168,133,0,80,327,9,166,3,0,12322
St Kilda East,0,0,0,0,0,0,0,0,0,0,0,0,8,33,5,13,0,0,11,0,6,5,3,0,0,0,5,3,0,0,0,0,3,3,42,0,55,3,3,4,5,20,59,0,10,6,7,231,174,4,0,10,265,3,13,0,0,0,0,50,0,0,0,14,37,19,0,3,0,0,0,38,3,10,0,6,47,3,227,37,0,73,28,0,36,10,78,4,144,18,59,6,9,147,41,74,7,5,76,22,3,0,37,153,0,30,0,0,2523
Armadale,0,6,0,0,0,0,0,0,4,0,0,0,3,38,3,37,0,0,3,0,3,0,7,3,0,3,16,9,0,6,12,0,0,3,100,104,63,8,13,22,0,12,46,16,33,0,8,192,701,4,0,10,441,3,217,3,0,3,0,12,0,3,0,23,4,0,0,4,3,0,11,56,9,54,0,12,232,0,334,68,0,102,18,0,13,0,7,4,353,5,89,12,3,311,161,118,0,0,11,32,3,0,21,198,6,43,0,0,4521
Prahran - Windsor,0,7,0,0,0,0,0,0,0,0,0,0,16,68,3,64,6,0,36,0,8,0,0,0,6,0,47,25,0,4,0,0,3,4,126,3,90,8,6,27,3,48,124,4,50,67,18,266,993,10,0,52,994,12,43,0,0,0,4,26,9,3,15,25,81,22,8,93,5,3,4,93,55,38,0,12,198,3,1066,274,0,187,35,0,275,0,192,20,195,352,126,50,367,657,146,221,12,10,115,93,8,0,82,322,7,109,6,0,8901
South Yarra - East,0,18,0,0,0,0,0,0,0,0,0,3,31,38,10,68,9,3,24,0,34,10,0,6,0,4,54,10,13,40,3,0,3,15,345,3,133,21,36,64,3,68,147,28,61,43,20,288,1184,19,0,256,989,3,18,13,6,3,0,10,9,12,10,197,380,337,0,66,15,9,23,172,22,156,4,18,422,4,1384,403,0,430,111,0,57,0,22,27,173,38,50,19,32,348,17,122,16,14,64,34,10,0,78,372,9,197,0,0,10010
Toorak,0,9,0,0,3,3,0,0,0,7,0,3,0,29,3,7,3,0,0,0,6,3,0,0,0,0,10,8,0,4,0,0,0,5,200,0,168,7,12,9,0,12,59,3,21,39,0,168,248,4,0,26,292,10,12,0,0,3,0,6,5,0,3,17,19,10,0,4,3,0,12,74,20,58,3,0,152,0,339,71,0,147,68,0,6,0,7,9,660,13,65,9,4,303,54,55,3,0,27,26,0,0,16,154,23,76,3,0,3943
Abbotsford,0,9,0,0,0,0,0,0,0,0,0,3,49,76,495,158,8,3,50,0,289,0,6,13,27,4,108,37,5,23,0,0,3,19,576,23,266,28,121,119,26,178,506,4,52,23,64,153,567,15,0,6,274,6,101,3,0,3,3,150,4,23,3,38,39,12,3,11,11,0,4,42,35,1082,0,15,28,4,826,335,0,282,43,0,193,3,56,6,66,40,33,14,3,84,66,99,0,3,52,19,0,0,130,253,3,117,0,0,8752
Carlton North - Princes Hill,0,3,0,0,0,0,0,4,0,0,0,0,4,26,0,16,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,3,38,0,67,3,3,3,0,22,14,0,3,0,0,40,143,0,0,4,208,0,11,0,0,0,0,3,0,0,3,21,13,3,0,4,0,10,4,16,3,25,0,7,45,0,211,30,0,50,11,0,21,0,0,8,177,44,43,3,5,139,6,60,0,6,46,163,3,0,3,54,3,18,0,0,1882
Collingwood,0,0,0,0,0,0,0,0,0,0,0,0,45,93,0,231,15,13,74,0,24,3,9,0,9,10,114,69,3,25,3,4,0,15,184,10,156,39,46,94,32,59,709,3,48,96,43,45,762,11,0,10,477,7,56,0,0,127,4,35,8,10,3,80,65,28,8,36,13,0,3,24,5,33,0,103,69,4,1248,285,0,390,106,0,96,0,126,30,119,137,111,26,36,715,99,429,8,8,84,14,4,0,157,187,0,147,12,0,8889
Fitzroy,0,3,0,0,0,0,0,0,0,0,0,0,28,26,23,102,0,3,81,0,8,4,3,10,4,0,62,59,0,3,0,5,3,10,144,13,93,20,5,86,0,27,244,0,43,0,12,219,837,3,0,74,1001,0,49,0,0,0,0,16,5,4,4,45,93,31,6,7,13,11,4,77,9,26,0,9,89,3,1010,259,0,278,27,0,338,0,90,28,153,484,100,118,3516,797,255,355,7,24,107,48,5,0,45,278,4,120,7,0,12183
Fitzroy North,0,0,0,0,0,0,0,0,0,0,0,0,5,47,0,17,3,0,18,0,0,3,3,0,3,3,41,10,0,0,0,0,0,11,125,14,94,4,11,49,0,18,56,0,20,3,10,147,148,0,0,15,349,0,227,0,0,0,0,11,3,0,4,48,37,13,0,5,0,0,0,13,0,19,0,17,50,0,341,98,0,48,12,0,34,0,15,12,200,20,46,11,62,182,33,158,0,4,86,19,0,0,33,136,6,40,3,0,3287
Richmond (Vic.),0,27,0,4,0,0,0,0,0,3,5,6,85,237,41,220,35,11,159,0,21,15,18,29,32,24,338,83,6,583,0,3,28,29,882,138,470,80,112,374,26,201,818,44,196,106,20,589,3235,104,0,195,1810,12,204,105,9,10,8,157,33,26,19,486,181,240,13,446,65,29,26,889,168,1661,0,389,549,8,3468,979,3,884,135,0,348,11,422,29,341,214,140,104,2043,1347,173,521,16,17,115,205,16,0,373,551,9,340,10,0,29974
Yarra - North,0,6,0,0,0,0,3,0,0,0,0,0,18,17,0,33,49,128,3,0,3,8,0,8,27,3,21,28,0,8,0,0,8,0,78,12,67,7,40,14,0,19,61,3,18,38,3,22,208,0,0,16,187,5,18,15,0,0,0,7,3,0,0,7,7,0,0,6,0,0,0,17,3,13,0,12,19,0,195,25,0,44,34,0,75,0,21,4,246,137,56,16,240,134,54,309,0,13,26,102,0,0,37,68,7,22,0,0,3151
Ashburton (Vic.),0,3,0,0,0,0,0,0,0,0,0,0,0,34,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,62,4,3,0,0,9,7,7,17,0,6,110,161,3,0,3,116,0,0,3,3,0,0,5,3,0,0,0,4,0,0,5,0,6,0,37,9,14,0,7,49,0,115,17,0,27,11,0,22,0,5,7,123,0,34,3,4,181,74,126,0,0,10,100,6,0,12,68,3,14,0,0,1723
Balwyn,0,7,0,0,0,0,0,0,0,0,0,3,3,34,0,4,0,9,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,120,5,106,3,13,13,3,14,38,0,27,16,3,271,336,3,0,15,263,3,10,0,0,0,0,72,4,0,0,15,61,0,0,7,0,3,4,82,18,82,0,12,129,0,568,60,0,53,31,0,40,0,14,11,471,4,58,19,0,302,131,105,0,7,15,27,4,0,24,124,4,51,7,0,3969
Balwyn North,0,4,0,0,0,0,0,0,0,0,0,0,3,18,0,11,0,0,3,0,4,8,3,0,0,0,5,10,0,0,0,0,0,3,92,15,92,11,14,11,4,18,25,0,14,7,0,149,165,4,0,7,154,0,28,0,0,0,0,15,6,0,0,9,4,4,0,16,4,0,5,62,48,67,0,3,73,0,283,62,0,29,40,0,22,4,18,11,421,18,56,7,4,194,41,86,0,0,16,82,0,0,33,124,0,39,3,0,2795
Camberwell,0,3,0,0,0,0,0,0,0,0,0,4,5,101,3,19,0,0,38,0,7,0,3,3,3,3,8,3,0,0,0,0,4,0,148,6,135,3,20,63,5,8,153,0,23,57,9,358,554,3,0,9,288,5,11,0,0,251,3,24,159,0,0,134,5,0,4,24,125,0,0,279,34,132,0,16,99,3,672,120,0,176,27,0,426,0,48,43,262,24,73,29,32,536,509,368,0,5,28,10,4,0,43,301,7,59,0,0,7169
Glen Iris - East,0,3,0,0,0,0,0,0,0,0,0,0,8,60,12,11,3,3,14,0,3,3,0,0,0,0,10,3,0,5,0,0,0,3,137,9,109,3,7,26,0,10,120,8,39,16,86,1197,144,3,0,6,103,4,34,0,0,0,0,6,9,19,0,4,15,0,0,0,0,0,0,91,54,51,0,15,95,3,1667,150,0,48,41,0,16,0,6,4,136,18,54,19,254,234,17,69,0,0,17,7,0,0,18,86,8,41,0,0,5486
Hawthorn,0,3,0,0,0,0,0,0,0,0,0,0,48,53,30,45,19,37,33,0,10,13,112,9,25,0,46,19,3,19,3,0,5,27,433,41,137,21,145,97,0,21,196,18,59,117,26,267,848,37,0,69,841,7,40,44,0,3,0,79,79,0,6,43,37,19,4,189,36,3,11,175,747,181,0,11,285,5,2005,399,0,149,93,0,253,25,54,30,656,1786,198,29,107,551,235,219,0,0,27,97,3,3,111,367,9,128,3,0,13490
Hawthorn East,0,16,0,0,0,4,0,0,3,0,3,3,23,99,14,55,13,5,23,38,150,16,0,8,4,3,49,13,0,26,3,0,13,11,190,95,138,22,63,50,19,14,264,8,27,65,384,184,995,0,0,16,482,0,153,0,0,0,0,6,8,4,3,14,63,5,0,52,30,0,9,188,110,385,0,3,93,3,1274,454,0,154,46,0,45,0,61,26,411,75,139,24,142,395,253,100,0,0,25,60,0,0,144,233,6,146,3,0,8959
Kew,0,13,0,0,0,4,0,0,0,3,17,3,32,37,18,30,3,4,48,0,27,0,9,3,7,0,13,9,0,0,0,3,0,12,251,58,184,9,25,48,0,42,250,7,27,12,20,303,315,3,0,52,515,6,179,0,3,3,6,20,976,23,3,45,14,3,16,9,6,5,7,179,56,146,0,27,225,3,819,128,0,290,203,3,143,0,104,29,2073,47,200,82,905,638,335,487,3,10,49,99,4,0,36,224,31,95,3,0,11415
Kew East,0,3,0,0,0,0,0,0,0,0,0,0,8,5,3,17,0,0,0,0,4,7,3,0,10,0,23,3,0,7,0,11,0,0,74,0,51,4,9,64,0,7,16,0,15,3,6,25,208,0,0,0,112,0,6,0,0,0,0,7,0,0,0,5,3,0,0,3,0,0,0,20,18,68,0,3,59,0,238,91,0,26,25,0,10,0,14,9,210,12,46,5,8,118,9,74,0,0,12,34,3,0,21,63,6,32,0,0,1926
Surrey Hills (West) - Canterbury,0,9,0,0,0,0,0,0,0,0,0,0,6,25,0,38,7,0,43,0,5,3,0,4,0,3,51,11,7,9,0,0,0,4,201,4,142,9,20,59,48,24,74,6,33,20,19,83,283,4,0,9,195,0,9,0,0,0,0,8,0,3,0,37,4,3,3,14,3,0,4,45,37,119,0,11,175,0,714,204,0,115,51,0,12,7,0,13,623,17,105,24,54,291,204,189,0,3,22,16,4,0,117,193,6,73,3,0,5009
Bulleen,0,0,0,0,0,0,0,0,0,0,0,0,7,24,0,10,5,68,4,0,3,8,15,3,11,4,8,3,0,0,0,0,3,6,89,14,132,7,13,13,5,26,10,5,19,23,7,135,150,4,0,0,221,0,34,0,0,0,0,3,0,3,0,3,3,0,0,5,0,7,0,35,4,14,0,11,15,0,153,41,0,17,40,0,11,0,3,7,392,20,70,13,3,146,0,73,0,35,0,97,0,0,90,93,3,28,0,0,2536
Doncaster,0,3,0,0,0,0,3,0,0,0,7,0,14,41,0,16,112,0,3,0,3,0,37,3,0,0,17,10,0,0,0,0,3,13,240,35,128,11,49,132,19,24,118,3,97,358,12,453,1934,7,0,17,689,0,64,0,0,0,4,11,10,4,0,16,78,0,0,37,3,8,3,110,45,36,0,5,68,0,230,226,0,67,67,0,448,0,49,9,234,6,57,11,9,255,23,76,0,0,10,42,8,0,161,189,0,72,3,0,7365
Doncaster East,0,14,0,0,0,0,0,0,0,0,0,0,11,90,3,19,0,0,3,0,0,10,0,0,3,0,10,15,0,0,0,3,3,9,84,7,123,9,39,19,0,16,28,5,25,4,29,575,417,7,0,22,502,4,248,0,0,0,0,21,9,0,0,9,7,0,3,10,3,11,8,129,22,110,0,14,255,3,423,90,0,60,64,0,88,0,61,12,402,8,134,13,215,315,114,226,0,0,4,56,16,0,68,197,3,54,4,0,5568
Templestowe,0,9,0,0,0,0,0,0,0,0,0,0,9,25,0,4,0,0,3,0,0,0,0,0,3,0,19,17,0,0,0,0,0,4,78,9,118,4,20,19,4,31,25,0,5,0,6,144,96,6,0,11,198,0,31,0,0,0,0,68,3,0,0,4,4,0,0,12,4,0,0,32,7,28,0,14,35,0,157,28,0,11,27,0,25,0,24,3,192,4,46,15,9,115,229,69,0,18,9,18,4,0,34,76,0,42,0,0,2285
