INDP - 2 Digit Level,"Agriculture, Forestry and Fishing, nfd",Agriculture,Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing Support Services","Mining, nfd",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Non-Metallic Mineral Mining and Quarrying,Exploration and Other Mining Support Services,"Manufacturing, nfd",Food Product Manufacturing,Beverage and Tobacco Product Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Wood Product Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Printing (including the Reproduction of Recorded Media),Petroleum and Coal Product Manufacturing,Basic Chemical and Chemical Product Manufacturing,Polymer Product and Rubber Product Manufacturing,Non-Metallic Mineral Product Manufacturing,Primary Metal and Metal Product Manufacturing,Fabricated Metal Product Manufacturing,Transport Equipment Manufacturing,Machinery and Equipment Manufacturing,Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services, nfd",Electricity Supply,Gas Supply,"Water Supply, Sewerage and Drainage Services","Waste Collection, Treatment and Disposal Services","Construction, nfd",Building Construction,Heavy and Civil Engineering Construction,Construction Services,"Wholesale Trade, nfd",Basic Material Wholesaling,Machinery and Equipment Wholesaling,Motor Vehicle and Motor Vehicle Parts Wholesaling,"Grocery, Liquor and Tobacco Product Wholesaling",Other Goods Wholesaling,Commission-Based Wholesaling,"Retail Trade, nfd",Motor Vehicle and Motor Vehicle Parts Retailing,Fuel Retailing,Food Retailing,Other Store-Based Retailing,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,"Accommodation and Food Services, nfd",Accommodation,Food and Beverage Services,"Transport, Postal and Warehousing, nfd",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Postal and Courier Pick-up and Delivery Services,Transport Support Services,Warehousing and Storage Services,"Information Media and Telecommunications, nfd",Publishing (except Internet and Music Publishing),Motion Picture and Sound Recording Activities,Broadcasting (except Internet),Internet Publishing and Broadcasting,Telecommunications Services,"Internet Service Providers, Web Search Portals and Data Processing Services",Library and Other Information Services,"Financial and Insurance Services, nfd",Finance,Insurance and Superannuation Funds,Auxiliary Finance and Insurance Services,"Rental, Hiring and Real Estate Services, nfd",Rental and Hiring Services (except Real Estate),Property Operators and Real Estate Services,"Professional, Scientific and Technical Services, nfd","Professional, Scientific and Technical Services (except Computer System Design and Related Services)",Computer System Design and Related Services,"Administrative and Support Services, nfd",Administrative Services,"Building Cleaning, Pest Control and Other Support Services","Public Administration and Safety, nfd",Public Administration,Defence,"Public Order, Safety and Regulatory Services","Education and Training, nfd",Preschool and School Education,Tertiary Education,"Adult, Community and Other Education","Health Care and Social Assistance, nfd",Hospitals,Medical and Other Health Care Services,Residential Care Services,Social Assistance Services,"Arts and Recreation Services, nfd",Heritage Activities,Creative and Performing Arts Activities,Sports and Recreation Activities,Gambling Activities,"Other Services, nfd",Repair and Maintenance,Personal and Other Services,Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use,Inadequately described,Not stated,Not applicable,Total
SA2 (POW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldivis,0,147,0,0,0,10,10,0,0,15,5,0,4,29,7,3,0,0,0,0,24,0,4,0,4,5,4,3,0,0,0,0,4,13,147,31,266,0,24,6,0,5,0,0,5,11,71,384,422,6,0,17,634,7,67,0,0,0,0,20,3,0,0,0,3,0,0,19,0,9,0,32,3,19,0,4,65,0,144,23,0,30,95,0,49,0,20,3,790,7,27,0,10,143,6,149,0,4,7,70,0,0,48,149,0,124,44,0,4558
Cooloongup,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,10,0,41,0,0,0,0,0,0,0,3,0,0,47,35,0,0,0,109,5,10,0,0,0,0,7,3,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,17,0,0,12,11,0,66,3,33,3,159,3,11,19,1030,176,97,42,0,0,0,8,0,0,5,17,0,26,15,0,2073
Port Kennedy,0,16,0,0,0,0,6,0,0,14,0,4,13,3,0,4,7,0,6,0,0,4,5,4,4,9,3,5,0,0,3,0,5,15,63,10,212,0,17,8,0,3,3,0,10,14,10,138,316,0,0,3,248,3,44,0,0,0,0,28,0,13,0,0,0,0,0,4,0,0,0,7,5,9,0,19,44,0,100,12,0,6,52,0,12,0,8,3,344,6,57,7,0,79,191,116,0,0,0,85,3,0,94,107,0,107,24,0,2778
Rockingham,0,31,4,0,8,0,9,0,0,66,3,10,75,127,13,22,37,0,12,0,24,20,15,94,47,58,77,57,0,8,0,6,47,35,246,108,545,7,117,27,70,20,11,0,40,336,28,392,1323,4,3,64,1026,12,253,8,13,0,3,116,16,62,0,25,78,0,3,21,5,5,3,120,17,49,5,47,231,0,299,51,0,179,119,3,633,2451,343,35,579,169,59,38,58,512,228,406,0,15,10,121,10,0,340,258,0,452,145,0,13913
Rockingham Lakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17
Safety Bay - Shoalwater,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,3,17,4,60,4,0,6,0,0,3,0,5,0,9,130,66,0,0,10,73,0,14,0,3,6,9,10,8,0,0,3,0,0,0,4,0,0,0,6,0,10,0,0,28,0,66,7,0,15,34,0,15,10,4,0,305,0,14,5,3,66,172,53,0,3,0,3,0,0,14,58,0,41,7,0,1419
Singleton - Golden Bay - Secret Harbour,0,6,0,0,0,6,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,3,10,73,9,193,0,9,5,0,7,6,0,3,0,14,167,63,0,0,0,140,0,28,8,0,0,0,9,5,0,0,5,3,0,3,0,4,4,0,3,0,14,0,3,56,0,81,15,0,24,47,0,10,0,15,5,507,0,43,5,4,78,3,79,0,0,11,50,0,0,17,69,0,70,16,0,2055
Waikiki,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,16,5,78,5,3,4,0,0,0,0,0,0,15,128,46,5,0,0,129,3,15,0,0,0,0,6,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,19,0,26,0,0,8,33,0,4,4,10,6,245,7,23,4,60,53,78,66,0,0,3,0,0,0,6,47,0,40,11,0,1262
Warnbro,0,0,0,0,0,0,0,0,0,5,0,0,0,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,13,0,53,0,4,0,10,3,3,0,5,0,21,260,217,0,0,0,276,0,16,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,23,0,3,0,0,20,0,60,5,0,29,32,3,19,0,3,11,442,3,19,3,5,49,15,65,0,0,0,87,0,0,9,82,0,47,25,0,1988
Albany,7,49,7,22,13,20,0,0,0,0,0,4,19,45,6,22,22,3,14,0,5,0,13,25,20,19,15,27,0,12,4,41,12,20,186,40,354,4,47,24,8,10,28,0,38,84,47,408,736,6,3,232,594,17,90,16,3,4,10,83,55,58,0,45,6,22,0,30,3,0,0,96,31,73,0,25,186,0,460,17,0,160,108,4,481,0,243,19,689,162,40,61,490,558,538,370,0,54,16,83,9,0,210,328,0,243,104,0,9627
Albany Region,11,467,0,16,5,11,0,0,0,15,0,0,8,20,8,0,21,0,0,0,37,0,0,0,0,0,8,0,0,0,0,0,3,3,13,4,26,0,4,0,3,5,23,3,6,23,3,52,147,0,0,42,87,7,32,0,0,4,0,4,0,0,0,0,3,0,0,0,0,0,0,18,3,0,0,7,0,0,25,3,0,10,24,0,10,0,8,0,146,0,3,3,6,14,0,10,0,3,6,3,0,0,9,8,0,57,22,0,1545
Bayonet Head - Lower King,0,12,0,4,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,20,0,0,0,0,0,0,0,5,3,10,66,12,4,0,7,5,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,3,13,0,38,0,0,6,89,0,0,0,0,4,4,4,0,0,4,0,0,0,3,13,0,8,3,0,408
Denmark,0,197,0,0,10,13,0,0,0,6,0,3,8,33,63,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,8,5,0,64,3,90,0,10,0,0,0,0,0,4,4,26,111,76,0,0,102,123,4,29,0,0,0,0,15,4,0,0,3,0,0,0,0,0,0,0,16,6,3,0,4,29,0,74,14,0,17,14,0,93,0,5,4,211,12,18,5,60,76,7,28,0,15,15,9,0,0,23,32,0,76,14,0,1902
Gnowangerup,7,716,17,0,5,41,0,0,0,0,0,0,7,4,0,9,0,0,0,0,5,0,0,6,0,7,0,0,0,8,0,0,0,4,19,8,30,0,20,19,0,0,0,4,8,6,7,18,26,0,0,33,27,9,31,0,0,0,0,7,0,13,0,0,0,0,0,0,0,3,0,15,0,0,0,0,3,0,17,0,0,9,19,0,66,0,8,3,108,0,6,7,13,12,3,27,0,7,0,0,0,0,15,3,0,43,8,0,1504
Katanning,5,276,0,0,0,33,0,0,0,0,0,0,3,101,0,0,0,0,0,0,4,0,3,0,0,5,0,4,0,8,0,14,3,0,22,3,33,0,19,58,0,196,5,7,7,37,12,69,85,0,0,21,44,4,24,0,0,0,0,17,6,22,0,0,0,0,0,3,0,0,0,32,6,6,0,3,22,0,45,4,0,7,14,0,117,0,18,3,163,9,0,7,114,45,29,40,0,0,0,5,0,0,60,31,0,57,21,0,2015
Kojonup,15,862,0,0,0,53,0,0,0,0,0,0,0,13,48,0,0,0,0,0,11,0,0,3,7,0,0,0,0,0,0,0,5,5,3,8,36,0,19,0,0,0,0,13,10,8,6,33,26,0,0,9,25,5,61,0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0,7,0,4,0,3,3,0,55,0,0,6,4,0,100,0,6,0,113,0,0,3,16,18,18,24,0,0,0,3,0,0,26,15,0,33,36,0,1808
Little Grove - Elleker,5,38,0,0,6,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,19,4,34,6,50,0,4,0,0,4,7,0,0,0,6,7,3,0,0,14,13,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,5,6,0,20,0,0,4,13,0,16,0,189,0,32,0,3,0,0,5,0,9,0,9,0,18,0,0,5,6,0,31,11,0,664
McKail - Willyung,9,78,0,90,3,23,0,0,0,5,10,0,22,9,3,8,22,0,0,0,0,0,6,12,22,37,25,10,0,48,3,35,0,12,78,67,246,5,47,45,6,18,11,18,8,104,18,70,101,3,0,42,52,8,95,3,0,0,0,3,21,0,0,0,6,0,0,0,0,0,0,0,17,5,0,19,7,3,54,6,0,20,36,0,62,0,0,3,265,147,13,0,5,17,8,59,0,0,0,5,0,0,78,31,0,95,30,0,2567
Plantagenet,7,496,0,11,0,20,0,0,0,3,4,0,0,362,58,8,5,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,6,0,24,19,57,0,17,0,0,5,0,13,7,0,5,65,26,0,0,14,47,9,63,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,17,0,8,0,0,13,0,41,6,0,14,16,0,56,0,49,3,92,6,40,5,69,33,8,18,0,0,0,4,0,0,37,18,0,52,27,0,2022
Stirling Range National Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chittering,7,273,0,0,0,11,3,0,0,72,9,5,15,21,12,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,7,6,36,17,91,0,22,3,0,3,4,6,3,0,7,39,27,0,0,15,33,8,62,0,0,0,0,8,3,0,0,0,0,0,3,0,0,0,0,109,5,5,0,0,6,0,32,8,0,12,20,0,61,3,4,0,86,0,7,0,3,16,4,3,0,0,0,17,0,0,13,16,0,60,18,0,1362
Cunderdin,9,460,0,0,0,33,0,0,0,0,0,0,27,32,0,3,8,0,0,0,0,0,0,15,8,24,20,4,0,0,0,16,0,0,9,7,43,0,13,18,0,5,0,6,8,8,16,48,15,0,0,9,31,0,34,0,0,0,0,11,0,12,0,0,0,0,0,0,0,5,0,11,3,0,0,0,0,0,12,0,0,10,22,0,84,0,11,0,178,8,4,0,68,22,44,31,0,0,0,0,0,0,31,8,0,52,19,0,1564
Dowerin,5,575,0,9,0,35,0,0,0,0,0,0,0,8,0,4,0,0,0,0,5,0,0,9,3,0,7,0,0,4,0,15,0,0,6,12,25,0,24,62,0,0,0,7,10,10,14,45,35,0,0,16,34,3,58,0,0,5,0,11,0,29,0,0,0,0,0,3,0,3,0,22,3,4,0,3,4,0,29,0,0,11,12,0,108,0,19,0,146,0,0,5,73,29,6,26,0,3,0,0,0,0,33,13,0,55,19,0,1720
Gingin - Dandaragan,9,1141,3,0,90,49,5,0,0,31,18,12,6,84,4,7,3,0,0,0,0,0,10,4,4,3,9,8,0,17,0,8,10,9,42,16,185,0,18,0,0,38,3,3,9,0,57,92,69,0,0,89,122,8,49,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,96,0,10,0,0,43,0,59,3,0,24,46,0,125,0,24,8,160,0,12,4,10,38,10,28,0,27,3,31,0,0,54,34,0,99,36,0,3337
Merredin,7,523,0,5,0,26,0,0,0,3,0,0,6,7,0,0,0,0,0,0,4,0,0,0,8,5,25,0,0,22,0,26,0,4,19,12,70,0,32,37,5,12,0,19,9,20,15,82,67,0,0,24,77,7,74,25,0,4,0,12,7,37,0,0,0,0,0,9,3,0,0,23,8,3,0,0,12,0,52,0,0,23,24,3,127,0,17,3,187,12,36,8,129,50,9,28,0,9,0,8,0,0,67,24,0,55,20,0,2279
Moora,4,758,0,0,0,42,3,0,0,29,12,3,7,11,3,3,0,0,0,0,9,25,9,0,0,14,14,0,0,10,0,11,0,6,17,18,54,0,57,70,0,6,0,11,10,25,23,67,38,0,0,43,54,8,80,0,0,0,0,13,0,8,0,0,0,0,0,5,0,0,0,34,4,0,0,0,8,0,45,13,0,18,18,0,125,0,21,0,184,12,6,0,79,29,3,17,0,11,3,0,0,0,61,29,0,99,15,0,2417
Mukinbudin,0,529,0,4,0,30,18,4,0,737,9,24,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,3,0,6,0,8,10,31,205,0,14,11,0,0,0,5,6,3,15,16,22,0,0,33,54,3,67,0,0,0,0,14,0,5,0,0,0,0,0,0,0,0,0,3,0,4,0,16,0,0,11,0,0,9,14,0,99,0,12,0,96,0,0,3,44,10,4,22,0,0,0,0,0,0,33,11,0,45,29,0,2356
Northam,6,224,0,0,0,12,0,0,0,5,23,9,22,64,0,9,0,0,3,0,0,10,12,55,32,12,12,3,0,31,5,65,7,14,71,89,145,0,40,40,10,12,4,5,14,62,16,141,169,0,4,35,159,9,62,59,0,3,0,23,22,19,0,4,0,7,0,15,0,0,0,43,11,6,0,15,47,0,138,7,0,62,64,3,252,0,315,7,334,92,15,30,213,175,114,142,0,3,4,18,4,0,88,70,0,147,54,0,4363
Toodyay,0,137,0,0,0,4,3,0,0,0,4,0,8,11,8,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,22,0,56,0,8,0,0,0,0,0,3,0,3,44,30,0,0,33,30,0,22,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,0,6,0,5,0,0,16,0,27,4,0,8,22,0,60,0,15,6,64,3,9,0,0,15,6,11,0,0,5,4,3,0,28,12,0,40,8,0,859
York - Beverley,0,371,0,0,0,25,0,0,0,0,0,6,6,7,0,0,0,0,0,0,0,0,0,11,0,0,10,0,0,0,0,0,23,0,12,0,51,0,34,5,0,0,0,7,5,0,6,66,62,0,4,43,74,5,28,0,0,0,0,18,0,0,0,0,0,0,0,3,0,0,0,15,0,5,0,0,16,0,55,4,0,14,8,0,68,0,7,0,111,0,6,4,42,39,49,36,0,4,6,13,0,0,16,18,0,43,16,0,1522
Brookton,5,544,0,0,0,45,0,0,0,4,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,9,6,4,16,18,0,26,17,0,0,0,0,0,11,26,37,27,0,0,17,30,4,37,0,0,0,0,5,0,19,0,0,0,0,0,0,0,4,0,10,3,5,0,0,0,0,28,0,0,10,4,0,92,0,22,0,103,6,5,3,35,21,62,12,0,0,0,7,0,0,31,4,0,42,16,0,1447
Kulin,8,1069,7,0,0,54,6,0,0,144,0,64,0,4,0,0,0,0,3,0,8,4,0,3,3,0,10,0,0,7,0,3,0,0,7,18,47,3,39,22,0,0,0,10,5,11,9,41,32,0,0,34,41,11,49,0,0,0,0,16,0,27,0,0,0,0,0,0,0,0,0,19,6,0,0,0,0,0,33,0,0,8,18,0,104,3,14,4,152,0,10,5,69,8,3,22,0,4,0,4,0,0,50,11,0,57,26,0,2456
Murray,5,79,0,6,0,3,26,0,0,1427,3,31,0,0,4,0,10,0,0,0,0,0,0,56,0,0,3,0,0,0,0,0,0,9,4,12,100,0,0,35,0,0,0,0,3,6,14,26,16,0,0,34,69,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,0,0,19,4,0,41,20,0,32,0,12,0,64,4,7,0,15,4,0,10,0,23,0,7,0,0,76,5,0,36,27,0,2456
Narrogin,0,103,0,0,0,27,0,0,0,0,0,0,9,54,0,3,0,0,0,0,0,0,11,0,4,9,4,4,0,14,4,16,9,3,15,41,62,0,25,20,3,3,4,11,11,29,11,76,110,0,0,38,66,6,60,0,0,0,0,14,7,0,0,6,0,4,0,4,0,0,0,42,12,14,0,8,20,0,62,0,0,13,22,0,122,0,33,5,277,20,8,6,162,79,106,76,0,22,0,14,0,0,75,37,0,71,32,0,2229
Wagin,0,828,0,0,0,36,0,0,0,0,3,0,10,52,0,5,0,0,0,0,3,0,0,12,3,0,12,0,0,0,0,4,0,3,20,9,42,0,31,13,0,0,0,7,5,0,28,39,35,0,0,33,27,3,40,12,0,0,0,6,0,4,0,0,0,0,0,0,0,4,0,9,0,3,0,0,6,0,28,3,0,4,7,0,90,0,10,0,87,5,5,7,24,19,21,25,0,0,0,4,0,0,27,16,0,44,23,0,1812
Broome,3,42,32,0,33,3,4,0,20,7,9,16,7,13,10,3,4,0,5,0,6,0,4,14,24,18,14,9,7,39,6,32,12,32,133,54,296,7,28,8,4,23,9,0,18,40,33,176,339,0,0,423,329,21,130,0,34,167,44,28,142,4,0,14,8,27,0,12,0,3,0,42,0,6,0,32,96,0,186,16,5,137,105,5,353,9,211,21,523,159,56,53,345,376,75,261,0,47,22,55,7,0,141,161,0,254,83,0,6833
Derby - West Kimberley,0,144,14,0,0,16,3,0,0,54,6,12,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,3,7,9,41,36,88,0,10,0,0,3,0,4,12,0,30,76,37,0,0,102,51,3,32,0,3,13,10,5,20,0,0,0,0,4,0,4,0,0,0,7,0,0,0,5,17,0,28,0,0,31,27,0,121,6,152,6,369,17,104,30,171,128,45,87,0,14,14,5,0,0,46,159,0,97,43,0,2594
Halls Creek,0,71,0,0,0,5,3,0,0,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,12,0,14,0,0,0,0,0,0,0,0,0,7,5,8,0,0,37,4,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,0,35,7,4,61,0,17,7,155,0,32,12,33,35,21,41,0,10,15,0,0,0,10,41,0,27,17,0,902
Kununurra,9,211,0,60,4,29,8,0,0,11,326,3,4,17,4,0,0,0,0,0,0,0,0,18,4,3,4,0,0,14,0,20,8,7,38,18,143,0,12,21,0,8,0,0,3,16,26,94,99,0,0,209,143,13,41,0,4,71,32,19,29,4,0,6,0,17,0,5,0,3,0,20,0,0,0,19,32,0,99,0,0,118,34,0,215,8,96,12,243,34,54,17,181,99,27,131,0,42,13,13,8,0,71,78,0,134,53,0,3693
Roebuck,0,59,11,0,0,8,0,0,3,24,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,6,0,11,0,0,0,0,0,0,0,3,0,5,15,0,0,0,47,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,6,0,28,0,10,0,106,6,3,0,0,45,4,25,0,8,0,0,0,0,0,63,0,8,11,0,570
East Pilbara,0,101,0,0,0,7,123,65,32,8794,20,554,5,0,0,0,0,0,0,0,40,0,0,0,25,4,6,0,0,49,0,0,5,41,24,141,238,4,18,29,7,4,0,0,0,3,19,3,0,0,5,41,308,10,68,11,0,15,0,0,7,0,0,0,0,0,0,6,0,0,0,7,0,0,0,36,0,0,61,6,0,207,127,0,35,0,43,8,77,3,20,4,0,13,4,14,0,0,0,0,0,0,76,92,0,137,97,0,11919
Newman,0,17,0,0,0,6,39,18,0,971,4,40,3,4,0,0,0,0,0,0,3,0,0,0,22,5,4,0,3,11,3,3,27,13,47,29,126,0,12,45,7,0,0,0,0,23,23,74,25,0,0,46,114,7,47,3,0,9,13,7,7,0,0,0,0,0,0,0,0,6,0,12,0,0,0,43,7,0,37,0,0,72,84,0,73,0,34,3,146,4,10,12,28,34,10,38,0,0,0,8,0,0,91,37,0,47,13,0,2710
Port Hedland,0,4,0,0,0,0,76,44,8,1954,111,53,11,0,0,0,0,0,0,6,8,4,14,46,141,32,20,3,0,18,0,13,42,51,95,104,265,3,64,71,38,7,0,0,8,33,24,84,72,0,0,88,152,58,596,33,41,32,0,19,234,5,0,6,0,0,0,0,0,0,0,17,0,3,0,86,40,0,151,7,0,116,63,0,137,5,49,0,83,0,9,4,0,64,4,26,0,3,4,8,0,0,211,41,0,211,59,0,6211
South Hedland,0,3,0,0,0,0,11,0,0,216,4,3,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,15,4,0,0,12,27,63,74,0,17,3,0,0,0,0,9,6,19,93,152,0,0,45,169,3,29,5,0,0,0,15,29,0,0,0,3,3,0,6,3,0,0,20,4,0,0,3,43,0,84,4,0,33,54,0,113,0,84,9,256,46,25,33,253,107,61,124,4,0,5,46,5,0,20,58,0,76,33,0,2655
Ashburton (WA),0,102,0,0,3,6,160,144,1891,6540,102,313,21,5,3,4,3,0,0,18,154,8,21,10,46,6,40,0,23,28,216,11,95,935,679,3877,1581,3,44,71,0,5,0,0,5,9,18,103,28,0,13,137,843,19,316,9,13,29,17,25,130,7,0,0,0,0,0,5,0,4,0,16,3,5,0,111,0,0,1816,29,0,383,209,0,155,3,99,3,211,6,12,4,44,86,5,48,0,18,8,6,0,0,158,58,0,961,172,0,23540
Karratha,0,14,4,0,3,0,37,0,106,333,54,52,31,22,4,3,0,0,0,3,21,5,12,27,32,21,16,0,3,36,14,54,68,48,102,132,412,5,48,56,30,15,7,0,19,56,40,186,271,6,0,159,316,44,193,21,21,111,13,35,104,3,0,5,0,9,0,14,0,8,0,42,0,12,4,146,105,0,218,15,0,129,190,0,273,54,148,13,509,70,33,17,166,134,9,125,0,19,5,27,6,0,200,106,0,322,63,0,6631
Roebourne,0,12,0,0,3,0,55,7,685,2141,298,56,7,0,0,3,0,0,0,13,126,3,0,0,14,9,14,0,5,10,29,0,42,38,41,295,192,10,52,8,0,0,0,0,3,0,12,60,13,0,5,43,108,33,85,10,75,5,4,6,154,0,0,0,0,0,0,0,0,12,0,8,0,0,0,11,3,0,188,12,0,101,138,0,54,12,148,10,129,11,6,9,13,51,18,81,0,4,5,7,0,0,56,38,0,387,53,0,6360
Esperance,7,240,0,7,19,59,10,0,4,24,0,6,21,81,0,6,4,0,3,5,16,0,9,19,21,14,9,9,0,36,0,13,13,14,94,23,188,14,79,56,16,23,12,12,21,56,23,226,282,0,0,113,264,28,190,74,11,13,0,32,116,63,0,9,3,6,0,9,0,4,0,49,12,15,0,25,54,0,170,4,0,52,67,0,216,0,43,3,414,28,28,17,135,147,109,134,0,19,10,27,9,0,186,106,0,180,43,0,5003
Esperance Region,3,878,7,0,0,19,12,0,0,261,23,23,4,5,0,0,3,0,0,0,0,0,0,4,0,12,10,3,0,0,0,0,0,0,8,14,93,0,11,0,0,0,0,4,0,3,12,20,8,0,0,28,26,0,39,0,0,0,4,8,0,12,0,0,0,0,0,0,0,5,0,4,0,0,0,3,10,0,18,4,0,15,9,0,44,0,4,0,133,4,0,0,21,9,0,25,0,3,0,0,0,0,22,0,0,34,17,0,1950
Carnarvon,18,326,0,0,27,11,0,0,0,21,13,11,5,29,0,0,0,0,0,0,0,0,0,3,0,4,5,0,0,22,0,13,3,9,17,19,89,0,17,4,0,4,0,5,5,33,20,103,62,0,0,82,73,7,44,0,0,8,3,16,27,4,0,4,0,0,0,0,0,4,0,13,3,0,0,6,21,0,32,5,0,22,49,0,150,0,42,4,163,14,8,10,117,69,17,35,0,5,0,11,5,0,30,18,0,62,32,0,2130
Exmouth,0,59,4,0,25,0,5,0,11,167,270,11,3,38,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,5,3,4,4,15,55,24,95,0,6,0,0,9,0,0,12,8,23,110,65,0,0,242,109,12,38,0,11,29,56,6,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,15,0,116,7,0,66,30,0,127,30,33,5,111,12,13,3,41,33,0,9,0,67,3,14,0,0,37,36,0,82,33,0,2492
Boulder,0,4,0,0,0,0,38,0,0,251,3,87,27,5,0,0,0,0,0,0,0,4,0,29,11,0,18,0,0,0,0,0,22,4,22,20,107,0,15,7,0,0,0,0,0,0,8,27,20,0,0,37,70,0,46,5,0,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,4,0,28,3,0,17,27,0,14,0,127,0,55,0,0,0,0,20,13,16,0,0,0,5,3,0,62,14,0,50,19,0,1422
Kalgoorlie,0,9,0,0,0,9,120,8,4,1068,15,376,48,18,4,6,4,3,8,5,87,25,7,89,41,9,51,5,0,32,4,28,36,25,74,140,490,6,61,143,46,23,17,0,34,121,44,368,554,3,3,220,522,24,415,102,0,9,15,58,54,8,3,18,28,15,0,25,7,0,0,84,19,45,0,133,128,0,330,19,0,149,166,0,391,0,237,19,683,148,26,30,40,243,161,287,0,29,4,88,9,4,429,175,0,335,128,0,10344
Kalgoorlie - North,0,4,0,0,0,0,0,0,0,104,0,17,4,0,0,0,0,0,0,0,9,0,4,6,0,0,0,0,0,0,0,0,0,0,19,3,37,0,0,0,0,0,0,0,0,0,0,55,9,0,0,4,49,0,10,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,41,0,0,3,5,0,40,0,13,0,120,5,5,17,376,94,8,21,0,3,0,7,0,0,6,22,3,19,17,0,1205
